"Actions","Tegevused"
"Add Answer","Lisa variant"
"Add New Answer","Lisa uus variant"
"Add New Poll","Lisa uus küsitlus"
"Answer Title","Variant"
"Answer Title:","Variant:"
"Answer was successfully saved","Variant salvestatud"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Assigned Answers","Assigned Answers"
"Closed","Suletud"
"Community Poll","Küsitlus"
"Date Closed","Sulgemise kuupäev"
"Date Posted","Avaldamise kuupäev"
"Delete","Kustuta"
"Delete Answer","Kustuta variant"
"Delete Poll","Kustuta küsitlus"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Edit Answer '%s'"
"Edit Poll '%s'","Muuda küsitlust '%s'"
"Edit Poll Answer","Muuda küsitluse varianti"
"ID","ID"
"Invalid Answer","Invalid Answer"
"New Poll","New Poll"
"Number of Responses","Number of Responses"
"Open","Avatud"
"Poll Answers","Küsitluse variandid"
"Poll Information","Küsitluse andmed"
"Poll Manager","Küsitluste haldus"
"Poll Question","Küsitluse teema"
"Poll information","Küsitluse andmed"
"Poll not exists","Küsitlus puudub"
"Poll with the same question","Poll with the same question"
"Save Answer","Salvesta variant"
"Save Poll","Salvesta küsitlus"
"Status","Staatus"
"Unable to find answer to delete.","Unable to find answer to delete."
"Visible In","Visible In"
"Vote","Hääleta"
"Votes Count","Häälte arv"
"Votes Count:","Häälte arv:"
