"* Required Fields","* Required Fields"
"Add","Lisa"
"Add Gift Message","Lisa kingisõnum"
"Allow Gift Messages for Order Items","Luba kingituse sõnumeid tellimuse toodetele"
"Allow Gift Messages on Order Level","Luba kingituse sõnumeid tellimuse tasemel"
"Are you sure?","Olete Te kindel?"
"Cancel","Cancel"
"Check this checkbox if you want to add gift messages to your items.","Märgi see väli kui soovid lisada kingituse sõnumit oma toodetele"
"Check this checkbox if you want to add gift messages.","Märgi see väli kui soovid lisada kingituse sõnumit."
"Close","Sulge"
"Do you have any gift items in your order?","Kas Teie tellimuses on tooteid mis mõeldud kinkimiseks?"
"Edit","Muuda"
"Edit Gift Message","Edit Gift Message"
"Enter a gift message for each item in your order.","Sisesta kingituse sõnum tellimuse igale tootele."
"Enter a gift message for entire order.","Sisesta kingituse sõnum kogu tellimusele"
"Enter a gift message for this address.","Sisesta kingituse sõnum sellele aadressile"
"Error while saving gift message","Error while saving gift message"
"From","Kellelt:"
"Gift Message","Kingisõnum"
"Gift Messages","Kingituse sõnumid"
"Gift message has been successfully saved","Gift message has been successfully saved"
"Item %d of %d","Toode %d toodetest %d"
"Message","Sõnum"
"No","Ei"
"Remove","Eemalda"
"Save","Salvesta"
"Save Gift Message","Salvesta kingituse sõnum"
"To","Kellele"
"Unknown entity type","Tundmatu olemi tüüp"
"Use config","Kasuta konfiguratsioonis määratud seadeid"
"Yes","Jah"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
"Your gift message successfully removed","Your gift message successfully removed"
"Your gift message successfully saved","Your gift message successfully saved"
