"%s was successfully added to your shopping cart.","%s lisati ostukorvi."
"&laquo; Back to Billing Information","&laquo; Back to Billing Information"
"&laquo; Back to Select Addresses","&laquo; Back to Select Addresses"
"&laquo; Back to Shopping Cart","&laquo; Back to Shopping Cart"
"* Required Fields","* Nõutud väljad"
"Add New Address","Lisa aadress"
"Add New Condition","Lisa uus tingimus"
"Add to Cart","Lisa ostukorvi"
"Add to Compare","Lisa võrdlusesse"
"Add to Wishlist","Lisa soovikorvi"
"Address","Aadress"
"Address %s of %s","Aadress %s hulgast %s"
"After adding a product redirect to shopping cart","Pärast toote lisamist ava ostukorv"
"Allow Guest Checkout","Luba maksmine külalistele"
"Already registered?","Juba registreerunud?"
"An error occurred in the process of payment","Tellimuse vormistamisel tekkis viga!"
"Apply Coupon","Rakenda kupong"
"Are you sure you would like to remove this item from the shopping cart?","Olete kindel et soovite seda toodet ostukorvist eemaldada?"
"Back","Tagasi"
"Back to Shipping Information","Tagasi kohaletoimetamise andmete juurde"
"Based on your selection, you may be interested in the following items:","Arvestades teie valikut, võite olla veel huvitatud ka järgmistest toodetest:"
"Billing Address","Maksja aadress"
"Billing Information","Maksja andmed"
"Billing Information - %s","Maksja andmed -%s"
"Can not add item to shopping cart","Can not add item to shopping cart"
"Can not apply coupon code.","Can not apply coupon code."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Katkesta kupong"
"Cannot remove item","Cannot remove item"
"Cannot update shopping cart","Cannot update shopping cart"
"Card Verification Number Visual Reference","Kaardi kinnitusnumbri visuaalne viide"
"Cart Subtotal:","Ostukorvi vahesumma:"
"Change","Change"
"Change Billing Address","Muuda maksja aadressi"
"Checkbox text","Checkbox text"
"Checkout","Vormista ost"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Ostu vormistamise valikud"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Maksa kui külaline  "
"Checkout as a Guest or Register","Maksa kui külaline või registreeru"
"Checkout method","Checkout method"
"Checkout with Multiple Addresses","Vormista ost koos mitme aadressiga"
"City","Linn või asula"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Vajuta siia</a> oma tellimuse kinnituse koopia printimiseks."
"Close","Sulge"
"Company","Firma nimi"
"Condition Name","Tingimuse nimi"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Configurable product image"
"Confirm Password","Kinnita salasõna"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Jätka"
"Continue Shopping","Tagasi poodi"
"Continue to Billing Information","Jätka maksja andmetele"
"Continue to Review Your Order","Jätka tellimuse ülevaatusele"
"Continue to Shipping Information","Jätka kohaletoimetamise viisile"
"Country","Riik"
"Coupon code ""%s"" is not valid.","Kupongi kood ""%s"" ei ole kehtiv."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","Loo maksja andmed"
"Create Shipping Address","Loo kohaletoimetamise aadress"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Andmete salvestamise probleem"
"Default Billing","Vaikimisi maksja andmed"
"Default Shipping","Vaikimisi kohaletoimetamine"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Keela ostu vormistamine ühel lehel"
"Disabled","Disabled"
"Discount Codes","Allahindluse koodid"
"Display Cart Summary","Kuva ostukorvi kokkuvõte"
"Display Shopping Cart Sidebar","Näita ostukorvi kõrvaltulbas"
"Display item quantities","Kuva toodete kogused"
"Display number of items in cart","Kuva ostukorvis olevate tootete arv"
"Easy access to your order history and status","Lihtne ligipääs Teie tellimuste ajaloole ja staatusele"
"Edit","Muuda"
"Edit Address","Edit Address"
"Edit Billing Address","Muuda maksja andmeid"
"Edit Items","Muuta tooteid"
"Edit Shipping Address","Muuda kohaletoimetamise aadressi"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Muuda oma ostukorvi"
"Email Address","E-posti aadress"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Sisesta uus aadress"
"Enter your coupon code if you have one.","Sisesta oma kupongi kood kui see Teil on."
"Enter your destination to get a shipping estimate.","Sisesta sihtpunkt saamaks kohaletoimetamise esmahinnangut"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Esmahinda kohaletoimetamist ja makse"
"Excl. Tax","Maksuta"
"Fast and easy check out","Kiire ja lihtne ostu vormistamine"
