"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%s's Wishlist","%s's soovikorv"
"* Required Fields","* Nõutud väljad"
"Add All to Cart","Lisa kõik ostukorvi"
"Add to Cart","Lisa ostukorvi"
"Add to Wishlist","Lisa soovikorvi"
"Added On","Lisamise aeg"
"Are You sure?","Kindel?"
"Are you sure you want to remove this product from your wishlist?","Eemalda toode ostukorvist?"
"Are you sure you would like to remove this item from the wishlist?","Olete Te kindel, et soovid eemaldada seda toodet soovikorvist?"
"Back","Tagasi"
"Can't save description %s","Can't save description %s"
"Cannot create wishlist","Soovikorvi loomine ebaõnnestus"
"Cannot specify product","Cannot specify product"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Märgi see valik kui soovid lisada soovikorvi linki RSS kanalile."
"Comment","Kommentaar"
"Email Sender","E-kirja saatja"
"Email Template","E-posti põhi"
"Email address can't be empty.","E-post aadress peab olema täidetud"
"Email addresses, separated by commas","E-kirja aadressid, eraldatud komadega"
"Enabled","Lubatud"
"General Options","Üldseaded"
"Go to Wishlist","Mine soovikorvi"
"Last Added Items","Viimati lisatud tooted"
"Message","Sõnum"
"My Wishlist","Soovikorv"
"My Wishlist (%d item)","Minu soovikorv (%d toode)"
"My Wishlist (%d items)","Minu soovikorv (%d toodet)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Palun sisesta kehtivad e-kirja aadressid eraldatud komadega. Näiteks tiit.tamm@domeeninimi.ee"
"Please, enter your comments...","Lisa kommentaar ..."
"Product","Toode"
"RSS Feed","RSS kanal"
"RSS link to %s's wishlist","RSS link  % soovikorvi"
"Remove Item","Eemalda toode"
"Share Wishlist","Jaga soovikorvi"
"Share Your Wishlist","Jaga oma soovikorvi"
"Share options","Jagamise seaded"
"Sharing Information","Jagamise info"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while deleting item from wishlist.","There was an error while deleting item from wishlist."
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","Uuenda soovikorvi"
"View Product","Vaata toodet"
"Wishlist","Soovikorv"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Soovikorvi jagamine"
"Wishlist is empty now.","Soovikorv on nüüd tühi"
"You have no items in your wishlist.","Soovikorv on tühi."
"You input not valid email address.","You input not valid email address."
"Your Wishlist was successfully shared","Your Wishlist was successfully shared"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Soovikorv"
"Are you sure you want to remove this product from your wishlist?","Eemalda toode ostukorvist?"
"Please, enter your comments...","Lisa kommentaar ..."
