"* Required Fields","* Vajalikud väljad"
"A new password was sent","Uus salasõna saadetud"
"Account Dashboard","Konto avaleht"
"Account Information","Kontoinfo"
"Account Sharing Options","Konto jagamise valikud"
"Account information was successfully saved","Account information was successfully saved"
"Action","Tegevus"
"Add New Address","Lisa uus"
"Add New Customer","Lisa uus klient"
"Add New Customer Group","Lisa uus kliendigrupp"
"Added From","Lisatud asukohast"
"Additional Address Entries","Lisa-aadressid"
"Address","Aadress"
"Address Book","Aadressid"
"Address Information","Aadressi informatsioon"
"Addresses","Aadressid"
"Admin","Admin"
"All","Kõik"
"All Store Views","Kõik poe vaate"
"All countries","Kõik riigid"
"Always optional","Always optional"
"Amount","Summa"
"Approved","Kinnitatud"
"Are you sure that you want to remove this item?","Olete Te kindel e soovite eemaldada seda toodet?"
"Are you sure you want to cancel adding of this address?","Olete Te kindel et soovite katkestada selle aadressi lisamist?"
"Are you sure you want to delete this address?","Olete Te kindel et soovite selle aadressi kustutada?"
"Are you sure?","Olete Te kindel?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Määra kliendigrupp"
"Average Sale","Keskmine müük"
"Back","Tagasi"
"Back to Login","Tagasi sisselogimisse"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Billing Information"
"Bought From","Ostetud"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Luues konto saate vormistada oste kiiremini, salvestada kohaletoimetamise aadresse, hoida silm peal oma tellimustel ja palju muud."
"CSV","CSV"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Katkesta"
"Change Account Password","Muuda konto salasõna"
"Change Billing Address","Muuda"
"Change Password","Muuda salasõna"
"Change Shipping Address","Muuda"
"City","Linn"
"Company","Ettevõte"
"Config","Seaded"
"Confirm New Password","Kinnita uus salasõna"
"Confirm Password","Salasõna kordus"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Kontaktandmed"
"Continue Shopping","Tagasi poodi"
"Country","Riik"
"Create","Create"
"Create New Account Options","Loo uue konto valikud"
"Create New Customer Account","Loo uue kliendi konto"
"Create Order","Loo tellimus"
"Create an Account","Loo konto"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Praegune salasõna"
"Customer","Klient"
"Customer Addresses","Kliendi aadressid"
"Customer Api","KliendiAPI"
"Customer Configuration","Kliendiseaded"
"Customer Group","Kliendigrupp"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
