"1 star","1 star"
"2 stars","2 tähte"
"3 stars","3 tähte"
"4 stars","4 tähte"
"5 stars","5 tähte"
"Add New Rating","Lisa uus reiting"
"Assigned Options","Määratud valikud"
"Be the first to review this product","Ole selle toote esimene hindaja"
"Default Value","Vaikimisi väärtus"
"Delete Rating","Kustuta kommentaar"
"Edit Rating","Muuda kommentaari"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Kui te ei määra reitingu nimeust poele kasutatakse vaikimisi väärtust"
"Manage Ratings","Manage Ratings"
"New Rating","Uus reiting"
"Option Label","Valiku silt"
"Option Title","Valiku nimetus"
"Option Title:","Valiku nimetus:"
"Please select one of each ratings above","Palun valige üks igast reitingust ülalpool"
"Rating Information","Reitingu informatsioon"
"Rating Name","Reitingu nimi"
"Rating Options","Reitingu valikud"
"Rating Title","Reitingu nimetus"
"Rating Visibility","Reitingu nähtavus"
"Rating isn't Available","Reiting ei ole saadaval"
"Rating with the same title","Reiting sama nimetusega"
"Save Rating","Salvesta reiting"
"Visible In","On nähtav"
