" was not delivered nor scanned"," was not delivered nor scanned"
"1 Day Freight","1 päeva vedu"
"2 Day Freight","2 päeva vedu"
"2Day","2Päev"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 päeva vedu"
"3 Day Select","3 Day Select"
"Access ID","Ligipääsu ID"
"Access license number","Access license number"
"Account ID","Konto ID"
"Account number","Account number"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"All Services","Kõik teenused"
"Allowed methods","Allowed methods"
"Bound Printed Matter","Seotud prinditud materjal"
"Business Service Center","Äriteenuste keskus"
"Calculate Handling Fee","Arvuta käsitlustasu"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Ei saa tõmmata lähetamise hindasid"
"Commercial","Commercial"
"Configuration","Seaded"
"Container","Konteiner"
"Customer Packaging","Customer Packaging"
"DHL","DHL"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Kohale toimetatud"
"Destination type","Destination type"
"Displayed Error Message","Kuvatud veateade"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Postkast"
"Dropoff","Dropoff"
"Empty response","Tühi vastus"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Lubatud  "
"Error #%s : %s (%s)","Viga nr %s : %s (%s)"
"Error #%s: %s","Viga nr %s: %s"
"Europe First Priority","Euroopa First Priority"
"Express","Ekspress"
"Express 10:30 AM","Ekspress 10:30"
"Express Mail","Express Mail"
"Express Saturday","Ekspress Laupäev"
"Express Saver","Ekspress Sääst"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg pakk"
"FedEx 25kg Box","FedEx 25kg pakk"
"FedEx Box","FedEx pakk"
"FedEx Envelope","FedEx ümbrik"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","Esimene üleöö"
"First-Class","Esimene klass"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Free method"
"Free shipping with minimum order amount","Free shipping with minimum order amount"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","Alus"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Käsitlus lisatud"
"Handling fee","Handling fee"
"Home Delivery","Koju toimetamine"
"International Economy","Rahvusvaheline ökonoomne"
"International Express","Rahvusvaheline ekspress"
"International First","Rahvusvaheline esimene klass"
"International Priority","Rahvusvaheline prioriteet"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Invalid DHL XML code for type %s: %s"
"Invalid DHL XML code type: %s","Invalid DHL XML code type: %s"
