"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"Action","Tegevus"
"Add New Block","Lisa uus plokk"
"Add New Page","Lisa uus lehekülg"
"All countries","Kõik riigid"
"Block Information","Ploki informatsioon"
"Block Title","Ploki nimetus"
"Block was successfully deleted","Plokk kustutatud"
"Block was successfully saved","Plokk salvestatud"
"CMS","Sisuhaldus"
"CMS Home Page","Sisuhalduse avaleht"
"CMS No Route Page","Sisuhalduse No Route lehekülg"
"Content","Sisu"
"Custom Design","Individuaalne disain"
"Custom Theme","Individuaalne teema"
"Custom Theme From","Erikujundus alates"
"Custom Theme To","Erikujundus kuni"
"Customer Tax Class Information","Kliendi maksuklasiis informatsioon"
"Date Created","Loomise kuupäev"
"Delete Block","Kustuta plokk"
"Delete Page","Kustuta lehekülg"
"Description","Kirjeldus"
"Disabled","Keelatud"
"Edit Block","Muuda plokki"
"Edit Block '%s'","Muuda plokk '%s'"
"Edit Page","Muuda lehekülge"
"Edit Page '%s'","Muuda lehekülg '%i'"
"Enabled","Lubatud"
"General Information","Üldinfo"
"Go to Home Page","Mine avalehele"
"Home","Avaleht"
"Identifier","Identifikaator"
"Keywords","Võtmesõnad"
"Last Modified","Viimati muudetud"
"Layout","Paigutus"
"Layout Update XML","Kujunduse uuenduse XML"
"Manage Pages","Halda lehekülgi"
"Meta Data","Meta andmed"
"Meta Description","Meta kirjeldus"
"Meta Keywords","Meta märksõnad"
"New Block","Uus plokk"
"New Page","Uus lehekülg"
"Page Identifier cannot consist only of numbers.","Lehetunnus ei saa koosneda vaid numbritest."
"Page Identifier for specified store already exist.","Lehetunnus on valitud poe jaoks juba kasutusel."
"Page Information","Lehekülje info"
"Page Status","Lehekülje staatus"
"Page Title","Lehekülje nimetus"
"Page was successfully deleted","Leht kustutatud"
"Page was successfully saved","Leht salvestatud"
"Poll Manager","Küsitluste haldus"
"Product Tax Class Information","Toote maksuklassi informatsioon"
"SEF URL Identifier","SEF URL Identifier"
"Save Block","Salvesta plokk"
"Save Page","Salvesta lehekülg"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","Staatilised plokid"
"Status","Staatus"
"Store View","Poe vaade"
"Such a block identifier in selected store already exist.","Such a block identifier in selected store already exist."
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This block no longer exists","Seda plokki pole enam"
"This page no longer exists","This page no longer exists"
"Title","Nimetus"
"Unable to find a block to delete","Unable to find a block to delete"
"Unable to find a page to delete","Unable to find a page to delete"
